folio,year,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p3_2,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p7_4,p7_4_1,p8,p8_1,p9_1,p9_2,p9_3,p10p,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_1,p18_2,p18_3,p18_4,p18_5,p18_6,p18_7,p18_8,p18_9,p18_10,p18_11,p18_12,p18_13,p18_14,p19e1,p19l1,p19u1,p19e2,p19l2,p19u2,p20e,p20l,p20u,p21c,p21t,p22,p22_1,p22_2e,p22_2m,p22_2l,p22_2u,p22_4,p22_5,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_1,p24_2,p24_3,p24_4,p24_5,p24_6,p24_7,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_2_1,p24_2_2,p24_2_3,p24_2_4,p24_2_5,p24_2_6,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27c,p27u,p27_1,p28,p28_1c,p28_1u,p28_1_1,p28_2,p29_1,p29_2,p29_3,p29_4,p29_5,p29_6,p29_7,p29_8,p29_9,p29_10,p29_11,p29_12,p29_13,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p33_1_3,p33_2,p34,p35es,p35cn,p35cd,p35_1,p35_2,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_3_5,p35_3_6,p35_3_7,p35_4c,p35_4t,p35_5,p35_6,p35_7,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p38_5_1_1,p38_5_1_2,p38_5_1_3,p38_5_1_4,p38_5_1_5,p38_5_1_6,p38_5_1_7,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,filtro,ponfin3
736,2016,2,111605,1,1,1,1,33,1,6,1,1,2,2,2,2,-1,1,2,1,4,1,2,1,1,5,1,2,-2,2,2,1,2,2,3,3,2,201,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,1,3000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,28,280320001,2,28,280320001,2,6,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,269999999,13,2,1,2,3000,3,1,1,3000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,3,2,2,2,2,2,2,2,25,2,1,1,2,48,48215,4821545384,25,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,10.78672948
737,2016,2,111605,1,1,1,1,18,1,1,2,-1,2,2,2,2,-1,6,2,2,6,2,2,1,0,5,0,-1,-1,2,2,1,2,2,3,3,9,906,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,1,3000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,60070001,2,9,90030001,2,28,280320001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,2,3000,3,1,1,3000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,2,2,2,2,2,2,2,20,2,1,1,2,48,48215,4821545384,20,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,10.78672948
738,2016,2,111605,1,1,1,1,19,1,6,1,1,2,2,2,2,-1,6,2,2,6,1,2,1,0,5,0,-1,-1,2,2,1,2,2,3,3,9,906,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,1,2000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70400001,2,30,300030001,2,28,280320001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,8,2,1,2,2000,3,1,1,2000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,2,2,2,2,2,2,2,20,2,1,1,2,48,48215,4821545384,20,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,4,2016,0,0,-3,1,-3,-3,1,10.78672948
740,2016,1,251602,1,1,1,1,22,1,1,3,-1,2,2,2,2,-1,6,2,2,5,3,2,1,0,1,0,-1,-1,2,2,1,2,2,3,3,5,509,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,1,3000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,19,190390001,2,19,190390001,2,12,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,8,2,1,3,6000,3,1,1,3000,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,12,2,1,1,2,48,48215,4821545384,12,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,2,2016,0,0,-3,1,-3,-3,1,10.76621129
741,2016,1,251602,1,1,1,1,23,1,2,3,-1,2,2,2,1,2,6,2,2,3,3,2,1,0,1,0,-1,-1,2,2,1,2,2,3,3,7,704,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,21,211140001,2,19,190390001,2,19,190390001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,2,6000,3,1,1,1500,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,2,0,-3,-3,-3,0,0,48,48029,4802965000,3,2,2,2,2,2,2,2,2,1,5,1,1,1,48,48029,4802965000,1,5,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2015,0,0,-3,1,-3,-3,1,10.76621129
741,2016,2,111605,1,1,1,1,21,1,2,3,-1,2,2,2,2,-1,6,2,2,4,3,2,1,0,1,0,-1,-1,2,2,1,2,2,3,3,8,815,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,9999997,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70890001,2,28,280320001,2,28,280320001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,15,2,1,2,500,3,1,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,3,1,2,2,2,2,2,2,3,4,1,1,1,48,48215,4821545384,3,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,10.78672948
742,2016,1,251602,1,1,1,1,22,1,2,2,-1,2,2,2,2,-1,1,1,-1,4,1,1,1,1,5,1,2,-2,2,2,1,2,2,3,3,5,511,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705015,3,2,-2,1,4000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,90030001,2,19,190390001,2,28,280380001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,50250001,1,2,1,3,8000,3,1,1,4000,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,99997,9999999997,3,2,2,2,2,2,2,2,2,1,4,1,1,2,48,99997,9999999997,1,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,1,2016,0,0,-3,1,-3,-3,1,10.76621129
742,2016,2,111605,1,1,1,1,38,1,3,3,-1,2,2,2,2,-1,6,1,-1,1,-1,-1,3,0,5,3,1,3,2,2,2,2,2,3,3,6,617,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70890001,2,30,302040001,2,9,90030001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,20020001,2,2,1,2,1000,3,1,1,500,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,6,99997,9999999997,3,2,2,2,2,2,2,2,2,2,2,1,1,2,6,99997,9999999997,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,-2,-2,-2,-2,1,-3,-3,5,2016,0,0,-3,1,-3,-3,1,10.78672948
743,2016,1,251602,1,1,1,1,28,1,3,3,-1,2,2,2,1,3,6,2,2,3,2,2,1,0,5,0,-1,-1,2,2,1,2,2,3,5,-3,-3,-3,-3,-3,-3,-3,6,6081,608168252,10,4,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,1,4000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,19,190390001,2,28,280320001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,3,8000,3,1,1,4000,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,4,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,6,6081,608168252,3,3,1,2,2,2,2,2,2,4,4,1,1,2,6,6081,608168252,10,5,1,834,9,6,20,3,1,484,1,2,2,2,1,1,1,-7,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,2,2006,0,0,-3,1,-3,-3,1,10.76621129
743,2016,2,111605,1,1,1,1,28,1,3,2,-1,2,2,2,2,-1,1,1,-1,3,2,1,5,1,5,1,2,-2,2,2,2,2,2,3,3,10,1011,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1305024,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,30,301310001,2,21,211140001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,8,2,1,2,5000,3,1,1,2000,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,4,1,2,2,2,2,2,2,4,4,1,1,2,48,48215,4821545384,4,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2015,2,2016,0,0,-3,2,2,2,1,10.78672948
743,2016,4,151611,1,2,2,1,42,1,3,1,1,2,2,2,2,-1,5,1,-1,4,1,2,1,1,5,1,3,-3,2,2,1,2,2,3,3,10,1010,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,9999997,3,2,-2,1,5000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,280320001,2,19,190390001,2,28,280320001,2,10,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,15,2,1,3,5000,3,1,1,5000,3,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,2,2,2,2,2,2,2,18,2,1,2,2,48,48215,4821545384,18,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,10,2016,0,0,-3,1,-3,-3,1,8.95194696
744,2016,1,251602,1,1,1,1,24,1,3,3,-1,2,2,2,2,-1,6,2,2,4,2,2,1,0,5,0,-1,-1,2,2,1,2,2,3,3,4,410,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,9,90080001,2,19,190390001,2,28,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,20,2,1,2,2000,3,1,1,1000,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48201,4820135000,3,4,1,2,2,2,2,2,2,14,2,2,1,2,48,48201,4820135000,14,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,2,2016,0,0,-3,1,-3,-3,1,10.76621129
744,2016,2,111605,1,1,1,1,21,1,2,3,-1,2,2,2,2,-1,6,2,2,3,2,2,5,0,5,0,-1,-1,2,2,1,2,2,3,3,6,613,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,1,2000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70190001,2,26,260040001,1,26,260040001,1,12,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,260040001,4,2,1,3,4000,3,1,1,2000,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,4,99997,9999999997,3,2,2,2,2,2,2,2,2,2,4,1,1,1,4,99997,9999999997,2,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2015,3,2016,0,0,-3,2,2,2,1,10.78672948
744,2016,4,151611,1,2,2,1,42,1,6,1,1,2,2,2,2,-1,5,1,-1,1,-1,-1,1,3,5,3,3,-3,2,2,1,2,2,3,3,7,704,1,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1312047,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,21,210030001,2,9,90020001,2,9,90020001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280270001,10,2,1,6,1500,3,1,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48029,4802965000,4,3,2,2,2,2,2,2,2,11,2,1,2,2,48,48029,4802965000,11,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,4,1,-5,9,2016,0,0,-3,4,1,2,1,8.95194696
745,2016,1,251602,1,1,1,1,27,1,0,0,1,2,2,2,2,-1,1,1,-1,3,1,1,1,1,5,1,2,-2,2,2,2,2,2,3,3,4,416,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,71010001,2,19,190390001,2,19,190390001,2,20,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,2,1500,3,1,1,500,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,3,2,2,2,2,2,2,2,2,14,2,1,1,2,48,48215,4821545384,14,2,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,2,2016,0,0,-3,1,-3,-3,1,10.76621129
745,2016,2,111605,1,1,1,1,42,1,1,2,-1,2,2,2,2,-1,6,1,-1,1,-1,-1,1,0,1,3,1,2,3,2,2,2,2,3,5,-3,-3,-3,-3,-3,-3,-3,32,32003,3200340000,20,4,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70890001,2,9,90030001,2,9,90030001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,20040001,8,2,1,2,5000,3,1,1,2000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,32,32003,3200340000,3,3,1,2,2,2,2,2,2,3,4,1,1,2,32,32003,3200340000,20,5,1,511,8,6,12,3,1,311,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,6,1996,0,0,-3,1,-3,-3,1,10.78672948
745,2016,4,151611,1,2,2,1,32,1,6,1,1,2,2,2,2,-1,6,2,5,2,2,2,1,0,5,1,3,-3,2,2,1,2,2,3,3,5,513,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,966,6,2,2,2,2,2,2,2,2,10,6,300,3,3,562,2,1,9999997,3,2,-2,1,4500,3,2,2,2,2,2,99,2,2,2,2,2,2,2,2,19,190390001,2,30,301930001,2,28,280320001,2,8,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,15,2,1,3,9000,3,1,1,9000,3,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,4,2,2,2,2,2,2,2,13,2,2,2,2,48,48215,4821545384,15,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,0,-4,-4,-4,-4,0,-3,2,1,2,1,8.95194696
746,2016,2,111605,1,1,1,1,19,1,3,2,-1,2,2,2,2,-1,6,2,2,6,3,2,1,0,5,0,-1,-1,2,2,2,2,2,3,3,4,407,99,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1305024,3,2,-2,1,3500,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,300030001,2,9,90030001,2,28,280250001,2,20,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280330282,8,2,1,3,7000,3,1,1,3500,3,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,48,99997,9999999997,3,2,2,2,2,2,2,2,2,3,4,1,1,1,48,99997,9999999997,3,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,2,2016,0,0,-3,1,-3,-3,1,10.78672948
746,2016,3,111608,1,1,1,1,24,1,2,3,-1,2,2,2,1,3,1,1,-1,3,2,2,1,1,1,1,3,-3,3,2,1,2,1,3,3,6,614,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,1,-3,952,4,1,1,2,2,2,2,2,2,10,6,175,3,4,461,2,1,1217001,1,2,-2,1,7000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,21,999999997,97,28,280320001,2,28,280320001,2,2,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,3,7000,3,1,1,7000,3,4,2,1,1,1,1,2,2,2,2,2,2,2,2,2,0,2,1,2,2,-2,2,0,-3,-3,-3,0,0,48,48215,4821545384,6,3,1,2,2,2,2,2,2,10,2,1,1,2,48,48215,4821545384,12,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,7,2016,0,0,-3,1,-3,-3,1,13.089069
746,2016,4,151611,1,2,2,1,21,1,3,2,-1,2,2,2,2,-1,6,2,2,3,2,2,1,0,1,0,-1,-1,2,2,1,2,2,3,3,2,203,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1705099,3,2,-2,1,3500,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,301930001,2,19,190390001,2,19,190390001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,1,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280270001,15,2,1,3,7500,3,1,1,35000,3,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,2,2,-2,6,3,3,-4,5,0,4,48,48479,4847941464,4,2,2,2,2,2,2,2,2,8,2,1,1,2,48,48479,4847941464,11,2,2,-5,-5,-5,-5,-5,-5,-5,3,-5,-5,-5,-5,-5,-5,-5,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2015,10,2016,0,0,-3,2,1,2,1,8.95194696
747,2016,1,251602,1,1,1,1,22,1,1,3,-1,2,2,2,2,-1,6,2,2,6,2,2,1,0,1,1,2,-2,2,2,1,2,2,3,3,4,407,2,-2,-2,-2,-2,-2,-2,-2,555,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1217001,3,2,-2,1,4000,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,70340001,2,28,280030001,2,28,280320001,2,12,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,2,2,1,2,4000,3,1,1,4000,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,-2,0,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,2,2,2,2,2,2,2,3,4,1,1,1,48,48215,4821545384,3,4,2,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,-3,-3,11,2015,0,0,-3,1,-3,-3,1,10.76621129
